Date,V,MA
2014-01-02,51.332000732421875,78.08770751953125
2014-01-03,51.36683654785156,77.77598571777344
2014-01-06,51.057945251464844,77.39028930664062
2014-01-07,51.4481315612793,78.46831512451172
2014-01-08,51.61305236816406,78.44485473632812
2014-01-09,51.5410270690918,79.07852172851562
2014-01-10,51.3598747253418,78.24988555908203
2014-01-13,50.84193420410156,75.92886352539062
2014-01-14,51.71290588378906,77.0265884399414
2014-01-15,51.97071075439453,77.1821517944336
2014-01-16,51.50851058959961,77.38184356689453
2014-01-17,53.92635726928711,76.71815490722656
2014-01-21,53.86827850341797,76.7237777709961
2014-01-22,54.11447525024414,78.08489227294922
2014-01-23,53.01357650756836,77.20374298095703
2014-01-24,51.38774871826172,73.59479522705078
2014-01-27,50.21946334838867,71.28878021240234
2014-01-28,51.32038116455078,73.89474487304688
2014-01-29,50.42850112915039,72.8354721069336
2014-01-30,51.30180358886719,74.76653289794922
2014-01-31,50.03597640991211,70.94193267822266
2014-02-03,49.580753326416016,69.28276062011719
2014-02-04,49.82927703857422,68.5422134399414
2014-02-05,50.07780456542969,68.27977752685547
2014-02-06,50.86747741699219,70.2108154296875
2014-02-07,51.510841369628906,71.53247833251953
2014-02-10,51.22517013549805,71.56999206542969
2014-02-11,51.638580322265625,71.42003631591797
2014-02-12,52.1597785949707,71.21379852294922
2014-02-13,52.13186264038086,71.73872375488281
2014-02-14,52.58558654785156,72.54491424560547
2014-02-18,52.599544525146484,72.63862609863281
2014-02-19,52.09231185913086,71.85121154785156
2014-02-20,51.99457931518555,71.11071014404297
2014-02-21,51.9713134765625,70.960693359375
2014-02-24,52.62980651855469,71.20441436767578
2014-02-25,52.84385681152344,71.93559265136719
2014-02-26,52.61118698120117,72.51675415039062
2014-02-27,52.65074157714844,72.89171600341797
2014-02-28,52.571624755859375,72.85424041748047
2014-03-03,51.52458953857422,71.92623138427734
2014-03-04,52.46925354003906,73.58536529541016
2014-03-05,51.843345642089844,73.30418395996094
2014-03-06,52.087646484375,72.76985931396484
2014-03-07,52.48320770263672,73.06047058105469
2014-03-10,52.46925354003906,72.54491424560547
2014-03-11,52.86015319824219,73.02296447753906
2014-03-12,52.60886764526367,73.43539428710938
2014-03-13,51.371002197265625,71.8230972290039
2014-03-14,51.368675231933594,71.56063842773438
2014-03-17,52.06903839111328,72.95734405517578
2014-03-18,52.68098068237305,73.9791488647461
2014-03-19,52.078346252441406,73.40727233886719
2014-03-20,51.61299514770508,73.50102996826172
2014-03-21,51.9736442565918,71.23253631591797
2014-03-24,51.364013671875,72.54491424560547
2014-03-25,50.81721878051758,70.56702423095703
2014-03-26,50.18434143066406,69.09529113769531
2014-03-27,50.20527267456055,68.74846649169922
2014-03-28,49.34901428222656,68.63595581054688
2014-03-31,50.22621154785156,70.0232925415039
2014-04-01,49.95630645751953,70.12641143798828
2014-04-02,49.94700622558594,70.0232925415039
2014-04-03,50.02843475341797,69.86396789550781
2014-04-04,48.32754898071289,67.66107940673828
2014-04-07,47.32937240600586,66.9663314819336
2014-04-08,47.1385498046875,67.14471435546875
2014-04-09,48.29032516479492,69.0599136352539
2014-04-10,46.896583557128906,66.8161392211914
2014-04-11,45.75179672241211,64.47846221923828
2014-04-14,46.770904541015625,66.8255386352539
2014-04-15,47.478271484375,67.73619079589844
2014-04-16,48.71380615234375,69.40727996826172
2014-04-17,48.3857307434082,69.59504699707031
2014-04-21,48.66029357910156,69.76405334472656
2014-04-22,48.855735778808594,69.97059631347656
2014-04-23,48.58815002441406,68.87214660644531
2014-04-24,48.723121643066406,69.80159759521484
2014-04-25,46.28693771362305,66.33733367919922
2014-04-28,46.8663215637207,66.88185119628906
2014-04-29,47.157169342041016,67.62353515625
2014-04-30,47.143211364746094,69.0505599975586
2014-05-01,47.95293426513672,69.6795425415039
2014-05-02,47.564361572265625,69.26647186279297
2014-05-05,48.19491958618164,70.24285125732422
2014-05-06,47.783084869384766,69.29462432861328
2014-05-07,48.56023406982422,69.3509750366211
2014-05-08,49.072120666503906,69.69835662841797
2014-05-09,49.051185607910156,69.82977294921875
2014-05-12,49.258277893066406,70.43061065673828
2014-05-13,49.34202194213867,70.25226593017578
2014-05-14,48.922428131103516,69.5668716430664
2014-05-15,48.36060333251953,68.60926055908203
2014-05-16,48.91075897216797,69.23827362060547
2014-05-19,49.03898620605469,69.34156799316406
2014-05-20,48.47016525268555,69.1444091796875
2014-05-21,48.97836685180664,71.00326538085938
2014-05-22,48.808197021484375,71.11598205566406
2014-05-23,49.4376106262207,71.77311706542969
2014-05-27,50.00410842895508,72.31763458251953
2014-05-28,49.840911865234375,72.22376251220703
2014-05-29,50.043724060058594,72.09231567382812
2014-05-30,50.081031799316406,71.77311706542969
2014-06-02,49.775638580322266,72.33641052246094
2014-06-03,49.262779235839844,71.67924499511719
2014-06-04,49.288421630859375,71.65106964111328
2014-06-05,49.47258758544922,72.13923645019531
2014-06-06,49.654415130615234,72.73072052001953
2014-06-09,49.5565071105957,72.15805053710938
2014-06-10,49.94581985473633,72.62743377685547
2014-06-11,49.57981491088867,72.16744232177734
2014-06-12,49.367671966552734,71.0877685546875
2014-06-13,49.25578308105469,71.2943344116211
2014-06-16,49.01100540161133,70.5151138305664
2014-06-17,49.14389419555664,70.3930435180664
2014-06-18,49.2464485168457,70.52450561523438
2014-06-19,49.02964782714844,69.72647094726562
2014-06-20,48.83616256713867,69.29462432861328
2014-06-23,48.83151626586914,69.60443878173828
2014-06-24,48.439857482910156,68.25251770019531
2014-06-25,48.73591613769531,68.57174682617188
